rank,wallet_address,layer3_xp
42,0x61158b6e3ece97c323997cf8442692f3aa414242,1600
43,0xbfe9404c61ac1cb47ab6a5449d68aa30dee0faad,1600
44,0x21d90e6f18f3848d9e45f34bdb4dfdde3fa09d1a,1600
45,0xa7466c3209b9ae0b2205455ad2d478243f94541d,1600
46,0x775f44b7b445e994bacac33f928ad5503c6e7b4a,1600
47,0x6a9ae2c4461521ac08b94bc71c9f4c3e7850af2e,1600
48,0xcfb0e3cc27563bf7c27349910103c88e4c9ae960,1600
49,0x6b44ce214161ec497d99c7fb6c05c67aa8bc9fba,1600
50,0x148d8dd085aea86d7cf77dce15cae6904ad2f78c,1600
51,0x474d7d70207fc6e133551927dd3cb212b086018f,1600
52,0xa3268edfd84415472d9c30ecdeba487f865ee063,1600
53,0xde3621b8ecd32273eb12f8b5bd1d5d7ea04b91b6,1600
54,0x443baef78686fc6b9e5e6daea24fe26a170c5ac8,1600
55,0x5fb452fc780868a59965b2469bf603bb5fcc75e8,1600
56,0xa7bae4236b56f23d7d0cb25685aa9b1b7ce02e37,1600
57,0xa45cd04a376b8014289db9d91aae741957fc8bf6,1600
58,0x8ed876fded3699c590be3e12cef56e23376eff3b,1600
59,0x2d444563b8266104611424cf59dfa80c1f2c65ee,1600
60,0x79411dd7df11f7789ea512a318ed4061fc8d45c7,1600
61,0xca0c8c28ec2f352649b3b9d2b8c673e6254142d6,1600
62,0xe4704f43707c9895859be8f7c30b9e0108615e96,1600
63,0xe6b9f47da2cf4cacf93c7788675d80b35093ccb3,1600
64,0x12d23991bd8a25333036cf41f44af6894f2ca61c,1600
65,0xfd602d20a5d4ecd61df5e88a0e6fa0ebd35c0b7e,1600
66,0x01b40c8a1cbbb3fb532d415bda04bbb489975ea7,1600
67,0x132af0452a9b8b61777421bf77c41fbbabf8527a,1600
68,0xb737f7e6a0132f66c3cfe144ab630f3e2f4cd6f4,1600
69,0x3d030547dc33855fcd25f1167a3d2ab6473b530a,1600
70,0x2b1ab405c5d8819c47ce9ad11f426af91f9f109f,1600
71,0x25fca8cb566632185aa28fdf26fff33457df2196,1600
72,0x2f43eedaee56684b3d5885c98f22aa5abf200e03,1600
73,0x8777956995e45725d262775b2033772a78f47009,1600
74,0xfb8ac05b152de56c257f93388ca30fdd290bffa7,1600
75,0x6bf6c46ba7f8536ac1b31757e4b3d82cef1584cb,1600
76,0x45946c7234838c4168e323ae7519f886e3a209fa,1600
77,0x9516e80ba79b97d5085ea4553df9e35022b1a656,1600
78,0xc755dc7c18341f498a8106aa8ffe1d30ce186283,1600
79,0xd418e97d62b546bf33e60a24dfe2b9c9b093837c,1600
80,0x649890078da0f9219d73c35d648699252451c627,1600
81,0x63d90fed9f6873f267c6cedd3f0cdcec17384fbc,1600
82,0x50de7bfe35d696bc9a18a0a03e108a6773965775,1600
83,0x493255051902f8c4e3c5d7ed8cf2e7d2a7a1c7f3,1600
84,0xb3a1581b786d724d34377d2a90c6f239887d1908,1600
85,0x4fd556e95f3901e11a63f8d49d35a12db577ed4b,1600
86,0x1f42e91fe954a7153e7c414ddfba6121b8b40add,1600
87,0xc5b09e5418b4dc9a099763f27da2963cfdbeba4e,1600
88,0xe58564b8ce8344afdfe3a111bc0b541ee7f5f7fa,1600
89,0x47df368ea705f5bf7658a6e445829e973df44368,1600
90,0x1371aa32b1c974fa90a31dd90f887c644b3cd74c,1600
91,0x97675d5d3ffd22401b78ba4c0a34faadd2039250,1600
92,0xdcd15ddf1a456bfc0805770f04e951abf064df56,1600
93,0x2ffed3158bb66a974e46e17e94b17e93202b804b,1600
94,0x93574333f9ac1882108b171eeac08dcda0caf1a6,1600
95,0x1ff0b864408167e0d271698e0920e079627b94d5,1600
96,0x673e99f8b95d2542f4745324e27fc438a6f853e9,1600
97,0x29c7a1e7da7256fd389b3b89afa2e5fb88cdfcfe,1600
98,0x38ce8d007f1f7431664bfdc526b30e52ec1f53ca,1600
99,0x33fd1acc271574f6e5c2eb4a0ea1264251ba2119,1600
100,0xe5c74069f2c2938e5584fd8f57b1ada5846f4769,1600
101,0xdd28d4909a1ad838e45ba869358dd7661c27307c,1600
102,0xf4847f0646f6ab5261e28ca28a5199283e2f99e0,1600
103,0x6e51d604728a6d3e752875b1e645e33a7c73b833,1600
104,0x3c41520b9cd2e7643d76bfa7ead9cc16eb9e972e,1600
105,0x9425e65fc52b0fc6ae86ebd814ce6b1c2201cca8,1600
106,0xde4e85dfd6583914a6001d7fd3efd188e796d618,1600
107,0x25e0a64d77c66148784341bb98ad7927c02c7926,1600
108,0x4806301e3565d4e364c22732529d457bc5cf278d,1600
109,0x8aa3d9672e1a4ca4320d92f2929688c9be246495,1600
110,0x20b985b22ee8c34e8cd52ad0f3b58b88fb975c60,1600
111,0xfd58822a6ad6aa2015dbeb4139853bd4d1d31ef6,1600
112,0x4f5e3bbb23895613902d8448b0b5ca9eb40a90a1,1600
113,0x04c86ae24b58d30ba255a96e7c30a721da7befda,1600
114,0x9b19bb1fbe8978d8a2454cc3b812dbf1341e03b3,1600
115,0x9970a71bbd7ce3fd9db7ab2552d55b9bc90925a3,1600
116,0x7bae01034704381d3f7b09d3c1f1fbd17d71acb4,1600
117,0xb83a5efc07309b2e1b63cea286fe9ef30b1295b8,1600
118,0x1691565c9e5846b348bf21707521e492614df376,1600
119,0x84aa46395030fadc28490e55917731784ee6bf77,1600
120,0x72e098257bc3167cf91ab85dfb6179e7bac8850e,1600
121,0x409bd82cf7071daa870540495cfa21ae49e69f00,1600
122,0x99e5ff5126c68294108df8f92f9321a0d7a69d4e,1600
123,0x3c13dc60dc6d5fe9f465552e2177786973a2dbb9,1600
124,0xbe612288a8cbcd71c6eee81d9388c411c9d0aafa,1600
125,0x1547352f49cb52ea655f469f75e574bf1115f1d5,1600
126,0x8411dc32cf77ea86a514de1a6d5b14447c9bd8a4,1600
127,0xf7e061bdfc37c2bcab10e143375753b715844729,1600
128,0x3a98108b5ae113c9ce6f423c89b37c4c1567ac78,1600
129,0x7f4aca24a93b89859660b104e08ab3943569577a,1600
130,0x5f1bf06ba6aeb4396f04745121f6c420bfa2a588,1600
131,0xeedbc4ccd0f25ed0ebbaf43e364a6a2ca74b7bbc,1600
132,0xa730dc799cd124f493d12f473b5eb24fc9b8a177,1600
133,0x940f5293be23c4d06f9f561f2df79457d3782e1e,1600
134,0xacd54246eda0c5638a247c4717a8782c21497eb6,1600
135,0xd923de646d3f0bb9eb7f9169f259c79c3ede2188,1600
136,0x6453b35bf9f857deeb872d9d586359885cf3bbe6,1600
137,0x828673294311ceca36f84fc97786e9aded8f17ff,1600
138,0x03fbcaca9f72275cffd0416d8aa8176383ce072e,1600
139,0xfde2de30cb47ff06c2414691e45567764d6e1400,1600
140,0xbf97c2f9f756ad8823d8000ea76e3096d2f9f8d9,1600
