block_time,blockchain,total,attested_schemas,unique_attesters,unique_recipients
2023-09-29 00:00:00.000 UTC,optimism,135,5,123,124
2023-09-30 00:00:00.000 UTC,ethereum,1,1,1,1
2023-09-30 00:00:00.000 UTC,optimism,96,4,88,89
2023-10-01 00:00:00.000 UTC,arbitrum,4,3,2,2
2023-10-01 00:00:00.000 UTC,base,3,3,1,2
2023-10-01 00:00:00.000 UTC,optimism,96,8,78,79
2023-10-02 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-10-02 00:00:00.000 UTC,base,3,2,1,1
2023-10-02 00:00:00.000 UTC,optimism,158,11,103,113
2023-10-03 00:00:00.000 UTC,base,4,4,3,2
2023-10-03 00:00:00.000 UTC,optimism,201,13,103,157
2023-10-04 00:00:00.000 UTC,arbitrum,3,2,2,2
2023-10-04 00:00:00.000 UTC,base,6,5,2,2
2023-10-04 00:00:00.000 UTC,ethereum,2,1,1,1
2023-10-04 00:00:00.000 UTC,optimism,631,11,187,281
2023-10-05 00:00:00.000 UTC,arbitrum,2,1,1,1
2023-10-05 00:00:00.000 UTC,base,2,2,2,2
2023-10-05 00:00:00.000 UTC,ethereum,1,1,1,1
2023-10-05 00:00:00.000 UTC,optimism,1758,16,161,338
2023-10-06 00:00:00.000 UTC,base,7,4,2,4
2023-10-06 00:00:00.000 UTC,optimism,676,18,81,148
2023-10-07 00:00:00.000 UTC,arbitrum,2,1,1,1
2023-10-07 00:00:00.000 UTC,base,4,2,2,2
2023-10-07 00:00:00.000 UTC,optimism,231,13,95,106
2023-10-08 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-10-08 00:00:00.000 UTC,base,3,2,2,2
2023-10-08 00:00:00.000 UTC,optimism,198,11,85,107
2023-10-09 00:00:00.000 UTC,arbitrum,12,2,2,7
2023-10-09 00:00:00.000 UTC,base,3,3,2,1
2023-10-09 00:00:00.000 UTC,optimism,120,12,88,90
2023-10-10 00:00:00.000 UTC,arbitrum,5,1,1,3
2023-10-10 00:00:00.000 UTC,base,1,1,1,1
2023-10-10 00:00:00.000 UTC,optimism,177,12,128,134
2023-10-11 00:00:00.000 UTC,base,1,1,1,1
2023-10-11 00:00:00.000 UTC,optimism,311,10,250,262
2023-10-12 00:00:00.000 UTC,base,2,2,1,1
2023-10-12 00:00:00.000 UTC,optimism,259,12,203,211
2023-10-13 00:00:00.000 UTC,arbitrum,2,1,1,1
2023-10-13 00:00:00.000 UTC,optimism,139,4,107,112
2023-10-14 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-10-14 00:00:00.000 UTC,base,2,1,1,2
2023-10-14 00:00:00.000 UTC,optimism,97,10,80,79
2023-10-15 00:00:00.000 UTC,base,4,4,2,2
2023-10-15 00:00:00.000 UTC,optimism,65,5,52,52
2023-10-16 00:00:00.000 UTC,base,7,4,3,5
2023-10-16 00:00:00.000 UTC,optimism,275,15,105,164
2023-10-17 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-10-17 00:00:00.000 UTC,base,7,3,2,5
2023-10-17 00:00:00.000 UTC,optimism,365,11,91,122
2023-10-18 00:00:00.000 UTC,base,3,2,1,2
2023-10-18 00:00:00.000 UTC,optimism,620,14,346,370
2023-10-19 00:00:00.000 UTC,base,1,1,1,1
2023-10-19 00:00:00.000 UTC,optimism,2512,9,2160,2161
2023-10-20 00:00:00.000 UTC,arbitrum,2,2,1,1
2023-10-20 00:00:00.000 UTC,base,2,2,2,1
2023-10-20 00:00:00.000 UTC,optimism,1557,10,582,676
2023-10-21 00:00:00.000 UTC,arbitrum,6,2,2,3
2023-10-21 00:00:00.000 UTC,base,3,2,2,1
2023-10-21 00:00:00.000 UTC,optimism,911,8,305,367
2023-10-22 00:00:00.000 UTC,arbitrum,2,2,1,1
2023-10-22 00:00:00.000 UTC,base,3,3,2,1
2023-10-22 00:00:00.000 UTC,optimism,707,15,370,412
2023-10-23 00:00:00.000 UTC,arbitrum,2,2,1,2
2023-10-23 00:00:00.000 UTC,base,9,3,2,5
2023-10-23 00:00:00.000 UTC,optimism,744,15,487,482
2023-10-24 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-10-24 00:00:00.000 UTC,base,9,3,2,6
2023-10-24 00:00:00.000 UTC,optimism,299,13,206,207
2023-10-25 00:00:00.000 UTC,arbitrum,4,4,4,4
2023-10-25 00:00:00.000 UTC,base,56,4,4,36
2023-10-25 00:00:00.000 UTC,optimism,89,17,30,31
2023-10-26 00:00:00.000 UTC,arbitrum,6,3,3,6
2023-10-26 00:00:00.000 UTC,base,27,2,1,18
2023-10-26 00:00:00.000 UTC,ethereum,2,2,2,1
2023-10-26 00:00:00.000 UTC,optimism,50,12,20,21
2023-10-27 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-10-27 00:00:00.000 UTC,base,6,2,1,5
2023-10-27 00:00:00.000 UTC,ethereum,1,1,1,1
2023-10-27 00:00:00.000 UTC,optimism,46,8,22,22
2023-10-28 00:00:00.000 UTC,arbitrum,1,1,1,1
2023-10-28 00:00:00.000 UTC,base,3,3,3,2
2023-10-28 00:00:00.000 UTC,optimism,43,13,20,21
2023-10-29 00:00:00.000 UTC,arbitrum,3,1,2,1
2023-10-29 00:00:00.000 UTC,base,3,3,2,2
2023-10-29 00:00:00.000 UTC,ethereum,1,1,1,1
2023-10-29 00:00:00.000 UTC,optimism,50,10,12,14
2023-10-30 00:00:00.000 UTC,base,38,3,2,23
