Day,# Attestations
2024-07-02 00:00:00.000 UTC,125132
2024-07-03 00:00:00.000 UTC,125232
2024-07-04 00:00:00.000 UTC,125286
2024-07-05 00:00:00.000 UTC,125334
2024-07-06 00:00:00.000 UTC,125380
2024-07-07 00:00:00.000 UTC,125416
2024-07-08 00:00:00.000 UTC,125498
2024-07-09 00:00:00.000 UTC,125576
2024-07-10 00:00:00.000 UTC,125616
2024-07-11 00:00:00.000 UTC,125652
2024-07-12 00:00:00.000 UTC,125694
2024-07-13 00:00:00.000 UTC,125776
2024-07-14 00:00:00.000 UTC,125858
2024-07-15 00:00:00.000 UTC,125952
2024-07-16 00:00:00.000 UTC,126002
2024-07-17 00:00:00.000 UTC,126044
2024-07-18 00:00:00.000 UTC,126274
2024-07-19 00:00:00.000 UTC,126430
